rank_test_score,mean_test_score,std_test_score,mean_train_score,std_train_score,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_model__learning_rate,param_model__max_depth,param_model__min_child_weight,param_model__min_split_loss,params,split0_test_score,split0_train_score
1,0.4322766570605187,0.0,0.6734578381437465,0.0,22.533030033111572,0.0,0.059055328369140625,0.0,0.8,6,10,50,"{'model__learning_rate': 0.8, 'model__max_depth': 6, 'model__min_child_weight': 10, 'model__min_split_loss': 50}",0.4322766570605187,0.6734578381437465
2,0.42517006802721086,0.0,0.7481296758104737,0.0,11.533146381378174,0.0,0.07141256332397461,0.0,0.3,3,5,0,"{'model__learning_rate': 0.3, 'model__max_depth': 3, 'model__min_child_weight': 5, 'model__min_split_loss': 0}",0.42517006802721086,0.7481296758104737
3,0.42483660130718953,0.0,0.7172869147659063,0.0,11.428774118423462,0.0,0.04303717613220215,0.0,0.8,3,5,10,"{'model__learning_rate': 0.8, 'model__max_depth': 3, 'model__min_child_weight': 5, 'model__min_split_loss': 10}",0.42483660130718953,0.7172869147659063
4,0.42207792207792205,0.0,0.7181328545780968,0.0,12.864201307296753,0.0,0.035001277923583984,0.0,0.8,3,10,10,"{'model__learning_rate': 0.8, 'model__max_depth': 3, 'model__min_child_weight': 10, 'model__min_split_loss': 10}",0.42207792207792205,0.7181328545780968
5,0.4166666666666667,0.0,0.7462686567164178,0.0,16.68136167526245,0.0,0.030918598175048828,0.0,0.5,6,1,10,"{'model__learning_rate': 0.5, 'model__max_depth': 6, 'model__min_child_weight': 1, 'model__min_split_loss': 10}",0.4166666666666667,0.7462686567164178
5,0.4166666666666667,0.0,0.819672131147541,0.0,13.706194162368774,0.0,0.03989362716674805,0.0,0.8,3,5,0,"{'model__learning_rate': 0.8, 'model__max_depth': 3, 'model__min_child_weight': 5, 'model__min_split_loss': 0}",0.4166666666666667,0.819672131147541
7,0.410958904109589,0.0,0.7547169811320754,0.0,13.726160287857056,0.0,0.08304142951965332,0.0,0.3,3,1,0,"{'model__learning_rate': 0.3, 'model__max_depth': 3, 'model__min_child_weight': 1, 'model__min_split_loss': 0}",0.410958904109589,0.7547169811320754
8,0.4089219330855019,0.0,0.7889546351084814,0.0,11.554746866226196,0.0,0.028985261917114258,0.0,0.5,3,5,0,"{'model__learning_rate': 0.5, 'model__max_depth': 3, 'model__min_child_weight': 5, 'model__min_split_loss': 0}",0.4089219330855019,0.7889546351084814
9,0.40590405904059046,0.0,0.8,0.0,8.332794427871704,0.0,0.03091740608215332,0.0,0.5,3,1,0,"{'model__learning_rate': 0.5, 'model__max_depth': 3, 'model__min_child_weight': 1, 'model__min_split_loss': 0}",0.40590405904059046,0.8
10,0.40453074433656966,0.0,0.7303712720632989,0.0,8.797698020935059,0.0,0.034032344818115234,0.0,0.5,3,1,10,"{'model__learning_rate': 0.5, 'model__max_depth': 3, 'model__min_child_weight': 1, 'model__min_split_loss': 10}",0.40453074433656966,0.7303712720632989
