rank_test_score,mean_test_score,std_test_score,mean_train_score,std_train_score,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_model__min_samples_leaf,param_model__min_samples_split,params,split0_test_score,split0_train_score
1,0.3973509933774835,0.0,0.6986899563318777,0.0,0.08477354049682617,0.0,0.006982088088989258,0.0,1,100,"{'model__min_samples_leaf': 1, 'model__min_samples_split': 100}",0.3973509933774835,0.6986899563318777
1,0.3973509933774835,0.0,0.6986899563318777,0.0,0.12765765190124512,0.0,0.006981849670410156,0.0,2,100,"{'model__min_samples_leaf': 2, 'model__min_samples_split': 100}",0.3973509933774835,0.6986899563318777
1,0.3973509933774835,0.0,0.6969508400746732,0.0,0.11170363426208496,0.0,0.006978511810302734,0.0,5,100,"{'model__min_samples_leaf': 5, 'model__min_samples_split': 100}",0.3973509933774835,0.6969508400746732
4,0.38961038961038963,0.0,0.6895485466914038,0.0,0.09873795509338379,0.0,0.006979703903198242,0.0,10,100,"{'model__min_samples_leaf': 10, 'model__min_samples_split': 100}",0.38961038961038963,0.6895485466914038
4,0.38961038961038963,0.0,0.6895485466914038,0.0,0.09574222564697266,0.0,0.005986928939819336,0.0,15,100,"{'model__min_samples_leaf': 15, 'model__min_samples_split': 100}",0.38961038961038963,0.6895485466914038
6,0.377643504531722,0.0,0.6668660287081339,0.0,0.10172605514526367,0.0,0.004987239837646484,0.0,20,100,"{'model__min_samples_leaf': 20, 'model__min_samples_split': 100}",0.377643504531722,0.6668660287081339
7,0.3692307692307692,0.0,0.6810035842293906,0.0,0.12366914749145508,0.0,0.005984306335449219,0.0,1,80,"{'model__min_samples_leaf': 1, 'model__min_samples_split': 80}",0.3692307692307692,0.6810035842293906
7,0.3692307692307692,0.0,0.6810035842293906,0.0,0.11967992782592773,0.0,0.007980108261108398,0.0,2,80,"{'model__min_samples_leaf': 2, 'model__min_samples_split': 80}",0.3692307692307692,0.6810035842293906
7,0.3692307692307692,0.0,0.6793802145411204,0.0,0.09574437141418457,0.0,0.00698089599609375,0.0,5,80,"{'model__min_samples_leaf': 5, 'model__min_samples_split': 80}",0.3692307692307692,0.6793802145411204
10,0.36585365853658536,0.0,0.6729081334113517,0.0,0.10471868515014648,0.0,0.006980180740356445,0.0,15,2,"{'model__min_samples_leaf': 15, 'model__min_samples_split': 2}",0.36585365853658536,0.6729081334113517
10,0.36585365853658536,0.0,0.6729081334113517,0.0,0.09773826599121094,0.0,0.00698089599609375,0.0,15,5,"{'model__min_samples_leaf': 15, 'model__min_samples_split': 5}",0.36585365853658536,0.6729081334113517
10,0.36585365853658536,0.0,0.6729081334113517,0.0,0.08576798439025879,0.0,0.013964414596557617,0.0,15,10,"{'model__min_samples_leaf': 15, 'model__min_samples_split': 10}",0.36585365853658536,0.6729081334113517
10,0.36585365853658536,0.0,0.6729081334113517,0.0,0.08477282524108887,0.0,0.00598454475402832,0.0,15,15,"{'model__min_samples_leaf': 15, 'model__min_samples_split': 15}",0.36585365853658536,0.6729081334113517
10,0.36585365853658536,0.0,0.6729081334113517,0.0,0.07679367065429688,0.0,0.00598597526550293,0.0,15,20,"{'model__min_samples_leaf': 15, 'model__min_samples_split': 20}",0.36585365853658536,0.6729081334113517
10,0.36585365853658536,0.0,0.6729081334113517,0.0,0.10471963882446289,0.0,0.005985736846923828,0.0,15,30,"{'model__min_samples_leaf': 15, 'model__min_samples_split': 30}",0.36585365853658536,0.6729081334113517
10,0.36585365853658536,0.0,0.6717289719626168,0.0,0.10671401023864746,0.0,0.005983591079711914,0.0,15,50,"{'model__min_samples_leaf': 15, 'model__min_samples_split': 50}",0.36585365853658536,0.6717289719626168
17,0.36253776435045315,0.0,0.6723933649289099,0.0,0.12466645240783691,0.0,0.005984067916870117,0.0,10,80,"{'model__min_samples_leaf': 10, 'model__min_samples_split': 80}",0.36253776435045315,0.6723933649289099
17,0.36253776435045315,0.0,0.6723933649289099,0.0,0.10471940040588379,0.0,0.00698399543762207,0.0,15,80,"{'model__min_samples_leaf': 15, 'model__min_samples_split': 80}",0.36253776435045315,0.6723933649289099
19,0.3603603603603604,0.0,0.6705202312138728,0.0,0.09175395965576172,0.0,0.0059833526611328125,0.0,10,30,"{'model__min_samples_leaf': 10, 'model__min_samples_split': 30}",0.3603603603603604,0.6705202312138728
20,0.3601108033240997,0.0,0.6437644341801386,0.0,0.09673857688903809,0.0,0.006982564926147461,0.0,30,2,"{'model__min_samples_leaf': 30, 'model__min_samples_split': 2}",0.3601108033240997,0.6437644341801386
20,0.3601108033240997,0.0,0.6437644341801386,0.0,0.08477354049682617,0.0,0.0059850215911865234,0.0,30,5,"{'model__min_samples_leaf': 30, 'model__min_samples_split': 5}",0.3601108033240997,0.6437644341801386
