rank_test_score,mean_test_score,std_test_score,mean_train_score,std_train_score,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_model__learning_rate,param_model__max_depth,param_model__min_child_weight,param_model__min_split_loss,params,split0_test_score,split0_train_score
1,0.4251012145748988,0.0,0.9883553470764925,0.0,32.183995485305786,0.0,0.030985593795776367,0.0,0.3,9,1,10,"{'model__learning_rate': 0.3, 'model__max_depth': 9, 'model__min_child_weight': 1, 'model__min_split_loss': 10}",0.4251012145748988,0.9883553470764925
2,0.42319749216300934,0.0,0.9826542300769104,0.0,32.38500785827637,0.0,0.025970458984375,0.0,0.5,9,1,50,"{'model__learning_rate': 0.5, 'model__max_depth': 9, 'model__min_child_weight': 1, 'model__min_split_loss': 50}",0.42319749216300934,0.9826542300769104
3,0.4198473282442748,0.0,0.9872991080603397,0.0,29.473936319351196,0.0,0.028923511505126953,0.0,0.8,9,5,10,"{'model__learning_rate': 0.8, 'model__max_depth': 9, 'model__min_child_weight': 5, 'model__min_split_loss': 10}",0.4198473282442748,0.9872991080603397
4,0.4197080291970803,0.0,0.9870962439385221,0.0,14.23243236541748,0.0,0.029919862747192383,0.0,0.5,3,1,0,"{'model__learning_rate': 0.5, 'model__max_depth': 3, 'model__min_child_weight': 1, 'model__min_split_loss': 0}",0.4197080291970803,0.9870962439385221
5,0.41935483870967744,0.0,0.9812893210229595,0.0,13.949780702590942,0.0,0.03600502014160156,0.0,0.3,3,10,0,"{'model__learning_rate': 0.3, 'model__max_depth': 3, 'model__min_child_weight': 10, 'model__min_split_loss': 0}",0.41935483870967744,0.9812893210229595
6,0.41379310344827597,0.0,0.9825738362104229,0.0,32.33594107627869,0.0,0.05101442337036133,0.0,0.1,9,10,10,"{'model__learning_rate': 0.1, 'model__max_depth': 9, 'model__min_child_weight': 10, 'model__min_split_loss': 10}",0.41379310344827597,0.9825738362104229
7,0.41310541310541316,0.0,0.9759863475681607,0.0,33.314449071884155,0.0,0.03198552131652832,0.0,0.1,9,10,50,"{'model__learning_rate': 0.1, 'model__max_depth': 9, 'model__min_child_weight': 10, 'model__min_split_loss': 50}",0.41310541310541316,0.9759863475681607
8,0.4117647058823529,0.0,0.9884773662551442,0.0,33.335033893585205,0.0,0.04497838020324707,0.0,0.1,9,1,10,"{'model__learning_rate': 0.1, 'model__max_depth': 9, 'model__min_child_weight': 1, 'model__min_split_loss': 10}",0.4117647058823529,0.9884773662551442
9,0.41176470588235287,0.0,0.9776502198339033,0.0,23.008976221084595,0.0,0.025960683822631836,0.0,0.3,6,10,50,"{'model__learning_rate': 0.3, 'model__max_depth': 6, 'model__min_child_weight': 10, 'model__min_split_loss': 50}",0.41176470588235287,0.9776502198339033
10,0.4107648725212465,0.0,0.9759070409945965,0.0,34.297123670578,0.0,0.03297257423400879,0.0,0.1,9,1,50,"{'model__learning_rate': 0.1, 'model__max_depth': 9, 'model__min_child_weight': 1, 'model__min_split_loss': 50}",0.4107648725212465,0.9759070409945965
10,0.4107648725212465,0.0,0.9767404033832141,0.0,32.54501938819885,0.0,0.03697824478149414,0.0,0.1,9,5,50,"{'model__learning_rate': 0.1, 'model__max_depth': 9, 'model__min_child_weight': 5, 'model__min_split_loss': 50}",0.4107648725212465,0.9767404033832141
12,0.40960451977401124,0.0,0.9768198454656365,0.0,33.58699917793274,0.0,0.028004884719848633,0.0,0.3,9,1,50,"{'model__learning_rate': 0.3, 'model__max_depth': 9, 'model__min_child_weight': 1, 'model__min_split_loss': 50}",0.40960451977401124,0.9768198454656365
13,0.4075235109717868,0.0,0.9799681775529354,0.0,14.198458433151245,0.0,0.0315241813659668,0.0,0.3,3,10,10,"{'model__learning_rate': 0.3, 'model__max_depth': 3, 'model__min_child_weight': 10, 'model__min_split_loss': 10}",0.4075235109717868,0.9799681775529354
13,0.4075235109717868,0.0,0.9796883922016478,0.0,27.711426496505737,0.0,0.020949125289916992,0.0,0.8,9,10,50,"{'model__learning_rate': 0.8, 'model__max_depth': 9, 'model__min_child_weight': 10, 'model__min_split_loss': 50}",0.4075235109717868,0.9796883922016478
15,0.4069767441860465,0.0,0.9879082010364401,0.0,32.78400683403015,0.0,0.0470123291015625,0.0,0.1,9,5,10,"{'model__learning_rate': 0.1, 'model__max_depth': 9, 'model__min_child_weight': 5, 'model__min_split_loss': 10}",0.4069767441860465,0.9879082010364401
16,0.40650406504065045,0.0,0.9885994155657079,0.0,32.61491107940674,0.0,0.056021690368652344,0.0,0.5,9,1,10,"{'model__learning_rate': 0.5, 'model__max_depth': 9, 'model__min_child_weight': 1, 'model__min_split_loss': 10}",0.40650406504065045,0.9885994155657079
16,0.40650406504065045,0.0,0.9896584401137161,0.0,34.8417763710022,0.0,0.023935794830322266,0.0,0.8,9,1,10,"{'model__learning_rate': 0.8, 'model__max_depth': 9, 'model__min_child_weight': 1, 'model__min_split_loss': 10}",0.40650406504065045,0.9896584401137161
18,0.40485829959514175,0.0,0.9901071723000825,0.0,14.151890277862549,0.0,0.03100728988647461,0.0,0.8,3,1,0,"{'model__learning_rate': 0.8, 'model__max_depth': 3, 'model__min_child_weight': 1, 'model__min_split_loss': 0}",0.40485829959514175,0.9901071723000825
19,0.4032258064516129,0.0,0.9815299117358613,0.0,22.8758647441864,0.0,0.04102611541748047,0.0,0.5,6,10,10,"{'model__learning_rate': 0.5, 'model__max_depth': 6, 'model__min_child_weight': 10, 'model__min_split_loss': 10}",0.4032258064516129,0.9815299117358613
20,0.40268456375838924,0.0,0.9825738362104229,0.0,23.972036123275757,0.0,0.03303670883178711,0.0,0.3,6,10,10,"{'model__learning_rate': 0.3, 'model__max_depth': 6, 'model__min_child_weight': 10, 'model__min_split_loss': 10}",0.40268456375838924,0.9825738362104229
21,0.40229885057471265,0.0,0.9872991080603397,0.0,32.4954731464386,0.0,0.035039663314819336,0.0,0.3,9,5,10,"{'model__learning_rate': 0.3, 'model__max_depth': 9, 'model__min_child_weight': 5, 'model__min_split_loss': 10}",0.40229885057471265,0.9872991080603397
22,0.40209790209790214,0.0,0.9855976365352265,0.0,14.013948202133179,0.0,0.029013395309448242,0.0,0.5,3,10,0,"{'model__learning_rate': 0.5, 'model__max_depth': 3, 'model__min_child_weight': 10, 'model__min_split_loss': 0}",0.40209790209790214,0.9855976365352265
23,0.40145985401459855,0.0,0.9851529817078173,0.0,32.79097890853882,0.0,0.051987409591674805,0.0,0.1,9,10,0,"{'model__learning_rate': 0.1, 'model__max_depth': 9, 'model__min_child_weight': 10, 'model__min_split_loss': 0}",0.40145985401459855,0.9851529817078173
24,0.4008438818565401,0.0,0.9897807812757541,0.0,33.270610332489014,0.0,0.053665876388549805,0.0,0.1,9,5,0,"{'model__learning_rate': 0.1, 'model__max_depth': 9, 'model__min_child_weight': 5, 'model__min_split_loss': 0}",0.4008438818565401,0.9897807812757541
25,0.39999999999999997,0.0,0.9794886433144394,0.0,14.153005361557007,0.0,0.03598284721374512,0.0,0.3,3,1,10,"{'model__learning_rate': 0.3, 'model__max_depth': 3, 'model__min_child_weight': 1, 'model__min_split_loss': 10}",0.39999999999999997,0.9794886433144394
26,0.39930555555555547,0.0,0.9844262295081968,0.0,23.243876695632935,0.0,0.02597665786743164,0.0,0.5,6,1,10,"{'model__learning_rate': 0.5, 'model__max_depth': 6, 'model__min_child_weight': 1, 'model__min_split_loss': 10}",0.39930555555555547,0.9844262295081968
27,0.39886039886039887,0.0,0.9759021456436929,0.0,27.811410903930664,0.0,0.07730793952941895,0.0,0.1,6,10,50,"{'model__learning_rate': 0.1, 'model__max_depth': 6, 'model__min_child_weight': 10, 'model__min_split_loss': 50}",0.39886039886039887,0.9759021456436929
28,0.398671096345515,0.0,0.9820515965493275,0.0,14.100968599319458,0.0,0.03301548957824707,0.0,0.3,3,5,0,"{'model__learning_rate': 0.3, 'model__max_depth': 3, 'model__min_child_weight': 5, 'model__min_split_loss': 0}",0.398671096345515,0.9820515965493275
29,0.39835164835164844,0.0,0.9757881052973677,0.0,30.865578413009644,0.0,0.08078336715698242,0.0,0.1,6,5,50,"{'model__learning_rate': 0.1, 'model__max_depth': 6, 'model__min_child_weight': 5, 'model__min_split_loss': 50}",0.39835164835164844,0.9757881052973677
30,0.3978779840848807,0.0,0.9728470111448837,0.0,33.447895526885986,0.0,0.03401637077331543,0.0,0.3,9,5,100,"{'model__learning_rate': 0.3, 'model__max_depth': 9, 'model__min_child_weight': 5, 'model__min_split_loss': 100}",0.3978779840848807,0.9728470111448837
31,0.39583333333333337,0.0,0.9896176664469346,0.0,22.965004682540894,0.0,0.04701375961303711,0.0,0.3,6,5,0,"{'model__learning_rate': 0.3, 'model__max_depth': 6, 'model__min_child_weight': 5, 'model__min_split_loss': 0}",0.39583333333333337,0.9896176664469346
32,0.39436619718309857,0.0,0.9738336713995942,0.0,32.806018590927124,0.0,0.031009435653686523,0.0,0.3,9,10,100,"{'model__learning_rate': 0.3, 'model__max_depth': 9, 'model__min_child_weight': 10, 'model__min_split_loss': 100}",0.39436619718309857,0.9738336713995942
33,0.39426523297491045,0.0,0.9845472804033283,0.0,22.88767910003662,0.0,0.029034852981567383,0.0,0.3,6,1,10,"{'model__learning_rate': 0.3, 'model__max_depth': 6, 'model__min_child_weight': 1, 'model__min_split_loss': 10}",0.39426523297491045,0.9845472804033283
34,0.3932584269662921,0.0,0.9866907656917514,0.0,14.134524583816528,0.0,0.030516386032104492,0.0,0.5,3,5,0,"{'model__learning_rate': 0.5, 'model__max_depth': 3, 'model__min_child_weight': 5, 'model__min_split_loss': 0}",0.3932584269662921,0.9866907656917514
35,0.39256198347107435,0.0,0.9896584401137161,0.0,23.36482262611389,0.0,0.043564796447753906,0.0,0.5,6,10,0,"{'model__learning_rate': 0.5, 'model__max_depth': 6, 'model__min_child_weight': 10, 'model__min_split_loss': 0}",0.39256198347107435,0.9896584401137161
36,0.390625,0.0,0.9880301098268273,0.0,32.51695275306702,0.0,0.02899312973022461,0.0,0.5,9,5,10,"{'model__learning_rate': 0.5, 'model__max_depth': 9, 'model__min_child_weight': 5, 'model__min_split_loss': 10}",0.390625,0.9880301098268273
