rank_test_score,mean_test_score,std_test_score,mean_train_score,std_train_score,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_model__min_samples_leaf,param_model__min_samples_split,params,split0_test_score,split0_train_score
1,0.3773584905660378,0.0,0.9433806195458868,0.0,0.15857863426208496,0.0,0.0039882659912109375,0.0,100,2,"{'model__min_samples_leaf': 100, 'model__min_samples_split': 2}",0.3773584905660378,0.9433806195458868
1,0.3773584905660378,0.0,0.9433806195458868,0.0,0.1735382080078125,0.0,0.00398564338684082,0.0,100,5,"{'model__min_samples_leaf': 100, 'model__min_samples_split': 5}",0.3773584905660378,0.9433806195458868
1,0.3773584905660378,0.0,0.9433806195458868,0.0,0.1515941619873047,0.0,0.004984855651855469,0.0,100,10,"{'model__min_samples_leaf': 100, 'model__min_samples_split': 10}",0.3773584905660378,0.9433806195458868
1,0.3773584905660378,0.0,0.9433806195458868,0.0,0.16655182838439941,0.0,0.003993034362792969,0.0,100,15,"{'model__min_samples_leaf': 100, 'model__min_samples_split': 15}",0.3773584905660378,0.9433806195458868
1,0.3773584905660378,0.0,0.9433806195458868,0.0,0.16156673431396484,0.0,0.006983518600463867,0.0,100,20,"{'model__min_samples_leaf': 100, 'model__min_samples_split': 20}",0.3773584905660378,0.9433806195458868
1,0.3773584905660378,0.0,0.9433806195458868,0.0,0.18051958084106445,0.0,0.0039861202239990234,0.0,100,30,"{'model__min_samples_leaf': 100, 'model__min_samples_split': 30}",0.3773584905660378,0.9433806195458868
1,0.3773584905660378,0.0,0.9433806195458868,0.0,0.17153215408325195,0.0,0.002992391586303711,0.0,100,50,"{'model__min_samples_leaf': 100, 'model__min_samples_split': 50}",0.3773584905660378,0.9433806195458868
1,0.3773584905660378,0.0,0.9433806195458868,0.0,0.16555285453796387,0.0,0.0029926300048828125,0.0,100,80,"{'model__min_samples_leaf': 100, 'model__min_samples_split': 80}",0.3773584905660378,0.9433806195458868
1,0.3773584905660378,0.0,0.9433806195458868,0.0,0.16156649589538574,0.0,0.0019943714141845703,0.0,100,100,"{'model__min_samples_leaf': 100, 'model__min_samples_split': 100}",0.3773584905660378,0.9433806195458868
10,0.3558718861209965,0.0,0.9629994661410209,0.0,0.2343730926513672,0.0,0.0059854984283447266,0.0,80,2,"{'model__min_samples_leaf': 80, 'model__min_samples_split': 2}",0.3558718861209965,0.9629994661410209
10,0.3558718861209965,0.0,0.9629994661410209,0.0,0.2154216766357422,0.0,0.00399017333984375,0.0,80,5,"{'model__min_samples_leaf': 80, 'model__min_samples_split': 5}",0.3558718861209965,0.9629994661410209
10,0.3558718861209965,0.0,0.9629994661410209,0.0,0.19547677040100098,0.0,0.0039899349212646484,0.0,80,10,"{'model__min_samples_leaf': 80, 'model__min_samples_split': 10}",0.3558718861209965,0.9629994661410209
