rank_test_score,mean_test_score,std_test_score,mean_train_score,std_train_score,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_model__C,param_model__tol,params,split0_test_score,split0_train_score
1,0.45652173913043476,0.0,0.9607086548834121,0.0,0.2293858528137207,0.0,0.005982398986816406,0.0,0.015,1e-10,"{'model__C': 0.015, 'model__tol': 1e-10}",0.45652173913043476,0.9607086548834121
1,0.45652173913043476,0.0,0.9607086548834121,0.0,0.24234747886657715,0.0,0.006983041763305664,0.0,0.015,1e-07,"{'model__C': 0.015, 'model__tol': 1e-07}",0.45652173913043476,0.9607086548834121
1,0.45652173913043476,0.0,0.9607086548834121,0.0,0.26429319381713867,0.0,0.005982637405395508,0.0,0.015,1e-05,"{'model__C': 0.015, 'model__tol': 1e-05}",0.45652173913043476,0.9607086548834121
1,0.45652173913043476,0.0,0.9607086548834121,0.0,0.22739195823669434,0.0,0.005983591079711914,0.0,0.015,0.0001,"{'model__C': 0.015, 'model__tol': 0.0001}",0.45652173913043476,0.9607086548834121
1,0.45652173913043476,0.0,0.9607086548834121,0.0,0.20844173431396484,0.0,0.0059833526611328125,0.0,0.015,0.001,"{'model__C': 0.015, 'model__tol': 0.001}",0.45652173913043476,0.9607086548834121
6,0.44247787610619466,0.0,0.9692588142685503,0.0,0.25830888748168945,0.0,0.00598454475402832,0.0,0.025,1e-10,"{'model__C': 0.025, 'model__tol': 1e-10}",0.44247787610619466,0.9692588142685503
6,0.44247787610619466,0.0,0.9692588142685503,0.0,0.23636555671691895,0.0,0.00598454475402832,0.0,0.025,1e-07,"{'model__C': 0.025, 'model__tol': 1e-07}",0.44247787610619466,0.9692588142685503
6,0.44247787610619466,0.0,0.9692588142685503,0.0,0.267284631729126,0.0,0.0059850215911865234,0.0,0.025,1e-05,"{'model__C': 0.025, 'model__tol': 1e-05}",0.44247787610619466,0.9692588142685503
6,0.44247787610619466,0.0,0.9692588142685503,0.0,0.23138189315795898,0.0,0.006981849670410156,0.0,0.025,0.0001,"{'model__C': 0.025, 'model__tol': 0.0001}",0.44247787610619466,0.9692588142685503
6,0.44247787610619466,0.0,0.9692588142685503,0.0,0.2513284683227539,0.0,0.004987478256225586,0.0,0.025,0.001,"{'model__C': 0.025, 'model__tol': 0.001}",0.44247787610619466,0.9692588142685503
11,0.41666666666666663,0.0,0.9695273631840794,0.0,0.3889608383178711,0.0,0.0069806575775146484,0.0,0.05,1e-10,"{'model__C': 0.05, 'model__tol': 1e-10}",0.41666666666666663,0.9695273631840794
11,0.41666666666666663,0.0,0.9695273631840794,0.0,0.3460705280303955,0.0,0.005982637405395508,0.0,0.05,1e-07,"{'model__C': 0.05, 'model__tol': 1e-07}",0.41666666666666663,0.9695273631840794
11,0.41666666666666663,0.0,0.9695273631840794,0.0,0.43882203102111816,0.0,0.005985260009765625,0.0,0.05,1e-05,"{'model__C': 0.05, 'model__tol': 1e-05}",0.41666666666666663,0.9695273631840794
11,0.41666666666666663,0.0,0.9695273631840794,0.0,0.36602258682250977,0.0,0.006979703903198242,0.0,0.05,0.0001,"{'model__C': 0.05, 'model__tol': 0.0001}",0.41666666666666663,0.9695273631840794
11,0.41666666666666663,0.0,0.9695273631840794,0.0,0.34707188606262207,0.0,0.012964725494384766,0.0,0.05,0.001,"{'model__C': 0.05, 'model__tol': 0.001}",0.41666666666666663,0.9695273631840794
16,0.36585365853658536,0.0,0.9769852788720715,0.0,0.4278528690338135,0.0,0.006982564926147461,0.0,0.1,1e-10,"{'model__C': 0.1, 'model__tol': 1e-10}",0.36585365853658536,0.9769852788720715
16,0.36585365853658536,0.0,0.9769852788720715,0.0,0.4248626232147217,0.0,0.0069811344146728516,0.0,0.1,1e-07,"{'model__C': 0.1, 'model__tol': 1e-07}",0.36585365853658536,0.9769852788720715
16,0.36585365853658536,0.0,0.9769852788720715,0.0,0.4039192199707031,0.0,0.00598454475402832,0.0,0.1,1e-05,"{'model__C': 0.1, 'model__tol': 1e-05}",0.36585365853658536,0.9769852788720715
16,0.36585365853658536,0.0,0.9769852788720715,0.0,0.4148905277252197,0.0,0.0069806575775146484,0.0,0.1,0.0001,"{'model__C': 0.1, 'model__tol': 0.0001}",0.36585365853658536,0.9769852788720715
16,0.36585365853658536,0.0,0.9769852788720715,0.0,0.42686009407043457,0.0,0.007976770401000977,0.0,0.1,0.001,"{'model__C': 0.1, 'model__tol': 0.001}",0.36585365853658536,0.9769852788720715
21,0.27707808564231734,0.0,0.936570054217113,0.0,0.08776664733886719,0.0,0.005983114242553711,0.0,0.001,1e-10,"{'model__C': 0.001, 'model__tol': 1e-10}",0.27707808564231734,0.936570054217113
21,0.27707808564231734,0.0,0.936570054217113,0.0,0.1047203540802002,0.0,0.005983591079711914,0.0,0.001,1e-07,"{'model__C': 0.001, 'model__tol': 1e-07}",0.27707808564231734,0.936570054217113
21,0.27707808564231734,0.0,0.936570054217113,0.0,0.09873676300048828,0.0,0.005983114242553711,0.0,0.001,1e-05,"{'model__C': 0.001, 'model__tol': 1e-05}",0.27707808564231734,0.936570054217113
21,0.27707808564231734,0.0,0.936570054217113,0.0,0.10571789741516113,0.0,0.005984067916870117,0.0,0.001,0.0001,"{'model__C': 0.001, 'model__tol': 0.0001}",0.27707808564231734,0.936570054217113
21,0.27707808564231734,0.0,0.936570054217113,0.0,0.13663387298583984,0.0,0.006981849670410156,0.0,0.001,0.001,"{'model__C': 0.001, 'model__tol': 0.001}",0.27707808564231734,0.936570054217113
26,0.23255813953488375,0.0,0.9831390507910075,0.0,0.9235279560089111,0.0,0.005983114242553711,0.0,1,1e-10,"{'model__C': 1, 'model__tol': 1e-10}",0.23255813953488375,0.9831390507910075
