rank_test_score,mean_test_score,std_test_score,mean_train_score,std_train_score,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_model__min_samples_leaf,param_model__min_samples_split,params,split0_test_score,split0_train_score
1,0.3441295546558704,0.0,0.9650210865790128,0.0,2.656893253326416,0.0,0.08677077293395996,0.0,50,2,"{'model__min_samples_leaf': 50, 'model__min_samples_split': 2}",0.3441295546558704,0.9650210865790128
1,0.3441295546558704,0.0,0.9650210865790128,0.0,2.41853404045105,0.0,0.10072970390319824,0.0,50,5,"{'model__min_samples_leaf': 50, 'model__min_samples_split': 5}",0.3441295546558704,0.9650210865790128
1,0.3441295546558704,0.0,0.9650210865790128,0.0,2.468398332595825,0.0,0.09774088859558105,0.0,50,10,"{'model__min_samples_leaf': 50, 'model__min_samples_split': 10}",0.3441295546558704,0.9650210865790128
1,0.3441295546558704,0.0,0.9650210865790128,0.0,2.4833600521087646,0.0,0.08876395225524902,0.0,50,15,"{'model__min_samples_leaf': 50, 'model__min_samples_split': 15}",0.3441295546558704,0.9650210865790128
1,0.3441295546558704,0.0,0.9650210865790128,0.0,2.477376699447632,0.0,0.09773778915405273,0.0,50,20,"{'model__min_samples_leaf': 50, 'model__min_samples_split': 20}",0.3441295546558704,0.9650210865790128
1,0.3441295546558704,0.0,0.9650210865790128,0.0,2.448452949523926,0.0,0.08776688575744629,0.0,50,30,"{'model__min_samples_leaf': 50, 'model__min_samples_split': 30}",0.3441295546558704,0.9650210865790128
1,0.3441295546558704,0.0,0.9650210865790128,0.0,2.5192642211914062,0.0,0.09673881530761719,0.0,50,50,"{'model__min_samples_leaf': 50, 'model__min_samples_split': 50}",0.3441295546558704,0.9650210865790128
1,0.3441295546558704,0.0,0.9650210865790128,0.0,2.437483787536621,0.0,0.09374737739562988,0.0,50,80,"{'model__min_samples_leaf': 50, 'model__min_samples_split': 80}",0.3441295546558704,0.9650210865790128
1,0.3441295546558704,0.0,0.9650210865790128,0.0,2.416536808013916,0.0,0.0857698917388916,0.0,50,100,"{'model__min_samples_leaf': 50, 'model__min_samples_split': 100}",0.3441295546558704,0.9650210865790128
10,0.3066037735849057,0.0,0.9748453779419699,0.0,2.862391710281372,0.0,0.1186833381652832,0.0,20,80,"{'model__min_samples_leaf': 20, 'model__min_samples_split': 80}",0.3066037735849057,0.9748453779419699
11,0.300925925925926,0.0,0.9660081348053455,0.0,2.6918513774871826,0.0,0.0967404842376709,0.0,30,2,"{'model__min_samples_leaf': 30, 'model__min_samples_split': 2}",0.300925925925926,0.9660081348053455
11,0.300925925925926,0.0,0.9660081348053455,0.0,2.6629276275634766,0.0,0.09374833106994629,0.0,30,5,"{'model__min_samples_leaf': 30, 'model__min_samples_split': 5}",0.300925925925926,0.9660081348053455
11,0.300925925925926,0.0,0.9660081348053455,0.0,2.624981641769409,0.0,0.10671520233154297,0.0,30,10,"{'model__min_samples_leaf': 30, 'model__min_samples_split': 10}",0.300925925925926,0.9660081348053455
11,0.300925925925926,0.0,0.9660081348053455,0.0,2.677840232849121,0.0,0.10372257232666016,0.0,30,15,"{'model__min_samples_leaf': 30, 'model__min_samples_split': 15}",0.300925925925926,0.9660081348053455
11,0.300925925925926,0.0,0.9660081348053455,0.0,2.8793017864227295,0.0,0.08776473999023438,0.0,30,20,"{'model__min_samples_leaf': 30, 'model__min_samples_split': 20}",0.300925925925926,0.9660081348053455
11,0.300925925925926,0.0,0.9660081348053455,0.0,2.89924693107605,0.0,0.09574270248413086,0.0,30,30,"{'model__min_samples_leaf': 30, 'model__min_samples_split': 30}",0.300925925925926,0.9660081348053455
11,0.300925925925926,0.0,0.9660081348053455,0.0,2.684819221496582,0.0,0.09674239158630371,0.0,30,50,"{'model__min_samples_leaf': 30, 'model__min_samples_split': 50}",0.300925925925926,0.9660081348053455
18,0.299625468164794,0.0,0.9704684736560686,0.0,2.2689335346221924,0.0,0.0967411994934082,0.0,80,2,"{'model__min_samples_leaf': 80, 'model__min_samples_split': 2}",0.299625468164794,0.9704684736560686
18,0.299625468164794,0.0,0.9704684736560686,0.0,2.252978563308716,0.0,0.10970664024353027,0.0,80,5,"{'model__min_samples_leaf': 80, 'model__min_samples_split': 5}",0.299625468164794,0.9704684736560686
18,0.299625468164794,0.0,0.9704684736560686,0.0,2.270930767059326,0.0,0.0887598991394043,0.0,80,10,"{'model__min_samples_leaf': 80, 'model__min_samples_split': 10}",0.299625468164794,0.9704684736560686
18,0.299625468164794,0.0,0.9704684736560686,0.0,2.2729244232177734,0.0,0.08875918388366699,0.0,80,15,"{'model__min_samples_leaf': 80, 'model__min_samples_split': 15}",0.299625468164794,0.9704684736560686
18,0.299625468164794,0.0,0.9704684736560686,0.0,2.280900239944458,0.0,0.08975982666015625,0.0,80,20,"{'model__min_samples_leaf': 80, 'model__min_samples_split': 20}",0.299625468164794,0.9704684736560686
18,0.299625468164794,0.0,0.9704684736560686,0.0,2.3387441635131836,0.0,0.08876252174377441,0.0,80,30,"{'model__min_samples_leaf': 80, 'model__min_samples_split': 30}",0.299625468164794,0.9704684736560686
18,0.299625468164794,0.0,0.9704684736560686,0.0,2.2858870029449463,0.0,0.0857694149017334,0.0,80,50,"{'model__min_samples_leaf': 80, 'model__min_samples_split': 50}",0.299625468164794,0.9704684736560686
18,0.299625468164794,0.0,0.9704684736560686,0.0,2.273918628692627,0.0,0.08776521682739258,0.0,80,80,"{'model__min_samples_leaf': 80, 'model__min_samples_split': 80}",0.299625468164794,0.9704684736560686
18,0.299625468164794,0.0,0.9704684736560686,0.0,2.2914011478424072,0.0,0.1047201156616211,0.0,80,100,"{'model__min_samples_leaf': 80, 'model__min_samples_split': 100}",0.299625468164794,0.9704684736560686
27,0.29616724738675954,0.0,0.9612852793548915,0.0,2.1627442836761475,0.0,0.10073161125183105,0.0,100,2,"{'model__min_samples_leaf': 100, 'model__min_samples_split': 2}",0.29616724738675954,0.9612852793548915
27,0.29616724738675954,0.0,0.9612852793548915,0.0,2.165735960006714,0.0,0.08676934242248535,0.0,100,5,"{'model__min_samples_leaf': 100, 'model__min_samples_split': 5}",0.29616724738675954,0.9612852793548915
27,0.29616724738675954,0.0,0.9612852793548915,0.0,2.2026407718658447,0.0,0.0887601375579834,0.0,100,10,"{'model__min_samples_leaf': 100, 'model__min_samples_split': 10}",0.29616724738675954,0.9612852793548915
27,0.29616724738675954,0.0,0.9612852793548915,0.0,2.1806957721710205,0.0,0.08477115631103516,0.0,100,15,"{'model__min_samples_leaf': 100, 'model__min_samples_split': 15}",0.29616724738675954,0.9612852793548915
27,0.29616724738675954,0.0,0.9612852793548915,0.0,2.233555555343628,0.0,0.08776283264160156,0.0,100,20,"{'model__min_samples_leaf': 100, 'model__min_samples_split': 20}",0.29616724738675954,0.9612852793548915
27,0.29616724738675954,0.0,0.9612852793548915,0.0,2.1926629543304443,0.0,0.0827789306640625,0.0,100,30,"{'model__min_samples_leaf': 100, 'model__min_samples_split': 30}",0.29616724738675954,0.9612852793548915
